boat,mmsi,date,n_positions,has_speed_course,catch_species_json
Liberty,338301392,2020-06-26,14,true,"{""yellowtail"":8,""Calico Bass"":65,""Bonito"":13}"
Liberty,338301392,2020-07-05,7,true,"{""yellowtail"":5,""Barracuda"":47,""Calico Bass"":45,""Whitefish"":83,""Rockfish"":2}"
Liberty,338301392,2020-07-16,23,true,"{""bluefin"":61,""yellowfin"":17}"
Liberty,338301392,2020-07-17,37,true,"{""bluefin"":9,""yellowfin"":1}"
Liberty,338301392,2020-07-26,56,true,"{""bluefin"":4}"
Liberty,338301392,2020-07-27,32,true,"{""bluefin"":39}"
Liberty,338301392,2020-07-28,125,true,"{""bluefin"":40}"
Liberty,338301392,2020-07-29,375,true,"{""bluefin"":30,""yellowtail"":1}"
Liberty,338301392,2020-07-30,262,true,"{""bluefin"":46,""yellowfin"":1}"
Liberty,338301392,2020-07-31,156,true,"{""bluefin"":7,""yellowfin"":4,""yellowtail"":1}"
Liberty,338301392,2020-08-01,44,true,"{""bluefin"":40,""yellowfin"":1,""yellowtail"":29}"
Liberty,338301392,2020-08-05,42,true,"{""bluefin"":2,""yellowfin"":29}"
Liberty,338301392,2020-08-06,102,true,"{""yellowfin"":4}"
Liberty,338301392,2020-08-08,68,true,"{""yellowfin"":4,""yellowtail"":1,""dorado"":1}"
Liberty,338301392,2020-08-09,76,true,"{""yellowfin"":1}"
Liberty,338301392,2020-08-11,43,true,"{""yellowfin"":1}"
Liberty,338301392,2020-08-12,20,true,{}
Liberty,338301392,2020-08-14,55,true,"{""yellowfin"":36}"
Liberty,338301392,2020-08-15,145,true,"{""yellowfin"":5}"
Liberty,338301392,2020-08-18,38,true,{}
Liberty,338301392,2020-08-20,44,true,"{""yellowtail"":6,""Barracuda"":1,""Calico Bass"":1,""Bonito"":28,""Rockfish"":2}"
Liberty,338301392,2020-08-21,100,true,"{""yellowtail"":12,""dorado"":62}"
Liberty,338301392,2020-08-22,91,true,"{""yellowtail"":14,""Barracuda"":20,""Sculpin"":9,""Calico Bass"":15,""Bonito"":70,""Rockfish"":60}"
Liberty,338301392,2020-08-23,186,true,"{""yellowtail"":76,""dorado"":4,""Barracuda"":30,""Calico Bass"":15}"
Liberty,338301392,2020-08-26,11,true,"{""bluefin"":1,""yellowtail"":71,""Calico Bass"":15,""Bonito"":20}"
Liberty,338301392,2020-08-28,129,true,"{""yellowfin"":1,""yellowtail"":2,""dorado"":36}"
Liberty,338301392,2020-08-29,265,true,"{""yellowtail"":5,""dorado"":54}"
Liberty,338301392,2020-08-30,109,true,"{""yellowfin"":4,""yellowtail"":8,""dorado"":40}"
Liberty,338301392,2020-09-02,208,true,"{""yellowtail"":1,""dorado"":80}"
Liberty,338301392,2020-09-03,410,true,"{""bluefin"":5,""yellowtail"":55,""Calico Bass"":42,""Bonito"":52}"
Liberty,338301392,2020-09-04,267,true,"{""dorado"":74}"
Liberty,338301392,2020-09-06,231,true,"{""yellowfin"":15,""yellowtail"":12,""dorado"":112,""skipjack"":14,""Bluefin Tuna (up to 100 pounds)"":20}"
Liberty,338301392,2020-09-07,269,true,"{""yellowfin"":110,""dorado"":44}"
Liberty,338301392,2020-09-12,83,true,"{""yellowfin"":7,""yellowtail"":6,""skipjack"":1}"
Liberty,338301392,2020-09-13,48,true,"{""yellowfin"":46,""dorado"":2,""skipjack"":5}"
Liberty,338301392,2020-09-17,96,true,"{""bluefin"":14,""yellowfin"":52}"
Liberty,338301392,2020-09-20,36,true,"{""yellowfin"":44,""dorado"":92,""skipjack"":1}"
Liberty,338301392,2020-09-25,37,true,"{""yellowfin"":2,""yellowtail"":11,""skipjack"":1,""Bonito"":1}"
Liberty,338301392,2020-09-26,55,true,"{""yellowfin"":57,""dorado"":2,""skipjack"":20}"
Liberty,338301392,2020-10-02,28,true,"{""yellowfin"":51,""dorado"":20,""skipjack"":54}"
Liberty,338301392,2020-10-03,230,true,"{""yellowfin"":78,""yellowtail"":4,""dorado"":2,""skipjack"":40}"
Liberty,338301392,2020-10-09,29,true,"{""yellowfin"":36,""yellowtail"":5,""dorado"":2,""skipjack"":3}"
Liberty,338301392,2020-10-11,54,true,"{""yellowtail"":109,""skipjack"":3}"
Liberty,338301392,2020-10-17,335,true,"{""yellowfin"":1,""yellowtail"":5,""dorado"":1,""skipjack"":38}"
Liberty,338301392,2020-10-31,249,true,"{""yellowfin"":5,""yellowtail"":3,""dorado"":1,""skipjack"":13}"
Liberty,338301392,2021-05-02,15,true,"{""yellowtail"":10}"
Liberty,338301392,2021-05-09,80,true,"{""Bluefin Tuna (up to 70 pounds)"":43}"
Liberty,338301392,2021-05-12,182,true,"{""bluefin"":43}"
Liberty,338301392,2021-05-13,386,true,"{""bluefin"":16}"
Liberty,338301392,2021-05-14,414,true,"{""bluefin"":1,""yellowtail"":199}"
Liberty,338301392,2021-05-15,88,true,"{""bluefin"":14}"
Liberty,338301392,2021-05-16,157,true,"{""bluefin"":1,""yellowtail"":22}"
Liberty,338301392,2021-05-17,389,true,"{""yellowtail"":69}"
Liberty,338301392,2021-05-19,408,true,"{""yellowtail"":38}"
Liberty,338301392,2021-05-23,289,true,"{""yellowtail"":37,""Sand Bass"":1,""Calico Bass"":12,""Lingcod"":1}"
Liberty,338301392,2021-05-28,38,true,"{""yellowtail"":16,""Barracuda"":8,""Calico Bass"":28,""Bonito"":22}"
Liberty,338301392,2021-05-29,77,true,"{""bluefin"":24}"
Liberty,338301392,2021-05-31,67,true,"{""bluefin"":5}"
Liberty,338301392,2021-06-05,80,true,"{""yellowtail"":17,""Bonito"":115}"
Liberty,338301392,2021-06-06,1,true,"{""bluefin"":15,""Bonito"":64}"
