boat,classification,trip_count,min_anglers,mean_anglers,median_anglers,p90_anglers,max_anglers,first_date_pacific,last_date_pacific,landings
Sauerfish,HIGH_CONFIDENCE_SIXPACK,189,2,5.4,6,6.0,6,2016-04-16,2023-07-21,Point Loma Sportfishing
Josie Lynn,HIGH_CONFIDENCE_SIXPACK,165,1,5.1,6,6.0,6,2015-01-23,2019-12-02,Point Loma Sportfishing
Blackfish,HIGH_CONFIDENCE_SIXPACK,119,2,5.02,5,6.0,6,2023-04-01,2026-07-11,"Davey's Locker, Newport Landing"
Alexes,HIGH_CONFIDENCE_SIXPACK,114,1,4.66,5.0,6.0,6,2015-02-26,2017-07-08,Seaforth Sportfishing
Boardroom,HIGH_CONFIDENCE_SIXPACK,73,2,5.07,6,6.0,6,2020-02-05,2021-09-26,Dana Wharf Sportfishing
Game Changer,HIGH_CONFIDENCE_SIXPACK,66,2,5.73,6.0,6.0,6,2018-10-07,2021-07-30,Point Loma Sportfishing
Voodoo,HIGH_CONFIDENCE_SIXPACK,66,3,5.59,6.0,6.0,6,2018-08-11,2024-08-26,H&M Landing
Bight 28 (SD),HIGH_CONFIDENCE_SIXPACK,55,1,2.89,3,4.0,6,2017-09-15,2025-12-05,Fisherman's Landing
Invader,HIGH_CONFIDENCE_SIXPACK,53,2,4.7,5,6.0,6,2020-10-18,2023-09-12,Seaforth Sportfishing
Hi-Count,HIGH_CONFIDENCE_SIXPACK,44,2,5.23,6.0,6.0,6,2015-07-10,2019-10-13,Point Loma Sportfishing
Faith,HIGH_CONFIDENCE_SIXPACK,41,1,4.73,5,6.0,6,2015-08-30,2020-02-27,H&M Landing
Hot Spot,HIGH_CONFIDENCE_SIXPACK,41,2,5.07,6,6.0,6,2020-05-31,2021-11-12,Dana Wharf Sportfishing
Western Star,HIGH_CONFIDENCE_SIXPACK,37,2,5.22,6,6.0,6,2018-09-27,2021-05-05,Fisherman's Landing
Little G,HIGH_CONFIDENCE_SIXPACK,34,3,5.53,6.0,6.0,6,2022-05-22,2025-10-19,H&M Landing
Bongos III,HIGH_CONFIDENCE_SIXPACK,17,2,5.47,6,6.0,6,2015-01-25,2023-09-02,Davey's Locker
Got Bait,HIGH_CONFIDENCE_SIXPACK,17,2,4.41,5,5.4,6,2026-05-02,2026-07-11,Point Loma Sportfishing
Freeman 34,HIGH_CONFIDENCE_SIXPACK,12,1,3.58,3.5,5.0,6,2021-11-02,2026-04-18,Fisherman's Landing
Black Diamond,HIGH_CONFIDENCE_SIXPACK,10,4,5.1,5.0,6.0,6,2018-02-06,2018-08-06,Fisherman's Landing
Penetrator,HIGH_CONFIDENCE_SIXPACK,10,2,3.7,3.5,6.0,6,2015-03-21,2015-06-09,H&M Landing
Chubasco III,REVIEW_SMALL_SAMPLE,9,4,5.22,6,6.0,6,2022-07-31,2023-05-21,Long Beach Sportfishing
Primetime,REVIEW_SMALL_SAMPLE,9,4,5.78,6,6.0,6,2022-09-13,2024-08-09,Point Loma Sportfishing
Bight 23 (SD),REVIEW_SMALL_SAMPLE,7,1,2.71,2,4.4,5,2020-07-06,2025-08-11,Fisherman's Landing
Bongos II,REVIEW_SMALL_SAMPLE,7,4,5.57,6,6.0,6,2022-08-11,2022-09-23,Davey's Locker
Cobalt,REVIEW_SMALL_SAMPLE,7,4,5.43,6,6.0,6,2021-07-01,2022-06-11,Fisherman's Landing
Effishency,REVIEW_SMALL_SAMPLE,7,2,4.14,5,5.0,5,2026-05-30,2026-07-10,Oceanside Sea Center
Mardiosa,REVIEW_SMALL_SAMPLE,7,2,4.86,5,6.0,6,2022-08-04,2023-06-07,Long Beach Sportfishing
Pacific Raider,REVIEW_SMALL_SAMPLE,7,4,5.43,6,6.0,6,2022-09-03,2023-05-28,Long Beach Sportfishing
Passport,REVIEW_SMALL_SAMPLE,7,2,4.57,5,6.0,6,2017-08-06,2018-08-19,H&M Landing
Second Chance,REVIEW_SMALL_SAMPLE,3,3,4,4,4.8,5,2026-05-25,2026-06-16,Dana Wharf Sportfishing
Osprey,REVIEW_SMALL_SAMPLE,2,4,4.5,4.5,4.9,5,2015-08-20,2015-09-06,H&M Landing
Rampage,REVIEW_SMALL_SAMPLE,2,2,4,4.0,5.6,6,2020-01-18,2020-08-23,Dana Wharf Sportfishing
Seasons 23,REVIEW_SMALL_SAMPLE,2,2,2,2.0,2.0,2,2019-07-12,2019-07-13,Fisherman's Landing
Carolena,REVIEW_SMALL_SAMPLE,1,6,6,6,6.0,6,2023-07-23,2023-07-23,H&M Landing
Hitman,REVIEW_SMALL_SAMPLE,1,4,4,4,4.0,4,2021-08-24,2021-08-24,Fisherman's Landing
MarDiosa,REVIEW_SMALL_SAMPLE,1,6,6,6,6.0,6,2026-06-14,2026-06-14,Long Beach Sportfishing
Ronin,REVIEW_SMALL_SAMPLE,1,4,4,4,4.0,4,2015-11-27,2015-11-27,H&M Landing
Sun Dance II,REVIEW_SMALL_SAMPLE,1,6,6,6,6.0,6,2019-08-31,2019-08-31,H&M Landing
Lucky B Sportfishing,REVIEW_BORDERLINE,62,1,3.16,3.0,4.0,8,2021-06-15,2026-06-08,Fisherman's Landing
Intrigue,REVIEW_BORDERLINE,58,3,5.34,6.0,6.0,7,2018-09-27,2023-10-13,Fisherman's Landing
Graylight,REVIEW_BORDERLINE,38,3,5.55,6.0,6.0,8,2026-05-01,2026-07-11,Channel Islands Sportfishing
San Diego,OPEN_PARTY,2531,5,32.64,33,49.0,59,2015-01-02,2026-07-12,Seaforth Sportfishing
Mission Belle,OPEN_PARTY,1588,5,22.89,23.0,35.0,43,2015-01-02,2026-07-11,Point Loma Sportfishing
Liberty,OPEN_PARTY,1429,6,31.02,31,46.0,86,2016-07-15,2026-06-21,Fisherman's Landing
Old Glory,OPEN_PARTY,1428,3,26.9,29.0,36.0,38,2015-05-29,2026-07-11,H&M Landing
Grande,OPEN_PARTY,1307,4,29.42,30,39.0,60,2015-02-22,2026-07-11,"H&M Landing, Point Loma Sportfishing"
Tribute,OPEN_PARTY,1300,7,26.85,29.0,33.0,44,2015-01-04,2026-06-20,Seaforth Sportfishing
Malihini,OPEN_PARTY,1012,4,25.64,24.0,44.0,51,2015-01-02,2026-07-11,H&M Landing
Producer,OPEN_PARTY,945,0,24.25,25,30.0,31,2015-05-09,2026-07-11,H&M Landing
New Lo-An,OPEN_PARTY,909,5,22.7,23,32.0,39,2015-04-18,2026-06-14,"Fisherman's Landing, Point Loma Sportfishing"
Pacific Queen,OPEN_PARTY,901,0,27.78,29,34.0,44,2015-01-03,2026-06-19,Fisherman's Landing
Sea Watch,OPEN_PARTY,887,4,22.67,24,33.4,48,2015-03-20,2026-07-12,Seaforth Sportfishing
El Gato Dos,OPEN_PARTY,858,1,4.81,5.0,6.0,22,2015-02-18,2026-07-12,Seaforth Sportfishing
Patriot,OPEN_PARTY,821,0,31.61,31,47.0,74,2015-01-01,2026-05-25,Newport Landing
Aztec,OPEN_PARTY,815,3,22.91,24,28.0,43,2015-01-23,2026-06-20,Seaforth Sportfishing
Voyager,OPEN_PARTY,811,3,13.39,14,18.0,27,2015-02-08,2026-07-12,Seaforth Sportfishing
Legend,OPEN_PARTY,750,1,25.4,27.0,30.0,53,2015-04-04,2026-07-12,H&M Landing
Western Pride,OPEN_PARTY,724,0,32.82,33.0,48.0,87,2015-01-07,2026-07-11,"Davey's Locker, Newport Landing"
Pacific Voyager,OPEN_PARTY,683,7,16.25,16,20.0,37,2015-01-17,2026-06-20,Seaforth Sportfishing
Condor,OPEN_PARTY,657,6,24.3,24,36.0,44,2015-05-25,2024-11-08,Fisherman's Landing
Tomahawk,OPEN_PARTY,637,0,22.91,24,28.0,31,2015-01-11,2026-07-11,"Fisherman's Landing, Seaforth Sportfishing"
Daiwa Pacific,OPEN_PARTY,620,6,17.58,18.0,22.0,41,2015-04-10,2026-07-12,H&M Landing
Point Loma,OPEN_PARTY,614,3,17.27,17.0,26.0,34,2015-01-25,2026-07-11,Point Loma Sportfishing
Pacifica,OPEN_PARTY,594,5,24.11,26.0,30.0,43,2019-06-16,2026-06-20,"Dana Wharf Sportfishing, Seaforth Sportfishing"
